K,vol,vol_fit
125,0.880487,0.861125
130,0.880487,0.846383
135,0.857049,0.831846
140,0.849237,0.817514
145,0.853143,0.803384
150,0.806269,0.789456
160,0.747676,0.762201
165,0.732051,0.748872
175,0.692989,0.722806
180,0.692989,0.710066
185,0.677364,0.697521
190,0.657833,0.685169
195,0.653926,0.673009
200,0.626583,0.661040
210,0.607052,0.637671
215,0.609005,0.626269
220,0.595333,0.615053
225,0.579708,0.604023
230,0.571896,0.593178
235,0.564084,0.582516
240,0.554318,0.572037
245,0.544553,0.561739
250,0.538693,0.551622
255,0.532834,0.541683
260,0.525998,0.531923
265,0.529904,0.522339
270,0.521115,0.512932
275,0.511350,0.503699
280,0.501584,0.494641
285,0.495237,0.485755
290,0.484983,0.477040
295,0.477659,0.468497
300,0.469846,0.460122
305,0.462034,0.451916
310,0.453489,0.443878
315,0.446653,0.436006
320,0.439573,0.428298
325,0.431761,0.420755
330,0.423704,0.413375
335,0.416624,0.406157
340,0.410521,0.399100
345,0.403685,0.392203
350,0.396361,0.385464
355,0.389525,0.378883
360,0.382201,0.372458
365,0.376097,0.366189
370,0.369383,0.360075
375,0.362792,0.354113
380,0.356200,0.348304
385,0.350097,0.342646
390,0.344420,0.337138
395,0.338500,0.331779
400,0.332641,0.326568
405,0.326781,0.321504
410,0.321593,0.316585
415,0.316161,0.311812
420,0.311065,0.307182
425,0.306335,0.302694
430,0.301574,0.298348
435,0.297363,0.294142
440,0.292999,0.290076
445,0.288482,0.286147
450,0.283691,0.282356
455,0.280212,0.278701
460,0.276123,0.275181
465,0.272186,0.271795
470,0.268249,0.268541
475,0.264801,0.265420
480,0.261657,0.262429
485,0.257599,0.259567
490,0.254761,0.256834
495,0.251373,0.254229
500,0.248413,0.251750
505,0.244781,0.249396
510,0.244781,0.247166
515,0.242111,0.245060
520,0.239441,0.243075
525,0.236252,0.241212
530,0.234070,0.239468
535,0.231369,0.237843
540,0.229233,0.236336
545,0.226578,0.234945
550,0.225220,0.233671
555,0.224106,0.232510
560,0.223404,0.231463
565,0.221848,0.230528
570,0.221634,0.229705
575,0.220749,0.228992
580,0.220902,0.228387
585,0.220627,0.227891
590,0.220963,0.227502
595,0.221085,0.227219
600,0.221573,0.227040
605,0.222428,0.226965
610,0.223343,0.226993
615,0.224136,0.227122
620,0.225540,0.227352
625,0.226761,0.227681
630,0.227921,0.228109
635,0.229569,0.228633
640,0.230972,0.229254
645,0.232559,0.229970
650,0.234146,0.230780
655,0.235611,0.231683
660,0.237076,0.232678
680,0.244766,0.237553
685,0.245987,0.238991
690,0.247940,0.240514
695,0.250870,0.242122
700,0.252090,0.243812
